Supplier,Total_Invoice_Amount,Total_Invoice_Count,Year,Client
Athenian Consulting Group LLC,1148239.1,56,2016,equinor
Athenian Consulting Group LLC,1458942.9,81,2017,equinor
Athenian Consulting Group LLC,1274121.05,72,2018,equinor
Atkins Energy Inc,31950.19,4,2018,equinor
"Atlantic Nitrogen and Testing, LLC",148681.25,10,2015,equinor
"Atlantic Nitrogen and Testing, LLC",14500,1,2016,equinor
"Atlas Consulting Services, LLC",3174066.57,596,2015,equinor
"Atlas Consulting Services, LLC",3074421.98,392,2016,equinor
"Atlas Consulting Services, LLC",3115700.74,385,2017,equinor
"Atlas Consulting Services, LLC",3046319.04,456,2018,equinor
Atlas Oil Company,2602429.74,24,2018,equinor
"Atomic Industries, LLC",1532300.02,36,2015,equinor
"Atomic Industries, LLC",261857.25,3,2016,equinor
Atria Inc.,1058.19,2,2015,equinor
Atria Inc.,1058.18,1,2016,equinor
Atria Inc.,2187.3,2,2018,equinor
Audias Family Restaurant,1944.25,2,2015,equinor
"Audit Technology Solution, LLC",54080,6,2015,equinor
"Audit Technology Solution, LLC",25200,9,2016,equinor
"Audit Technology Solution, LLC",10531,3,2017,equinor
"Audubon Engineering Company, L.P.",1667385.64,38,2015,equinor
"Audubon Engineering Company, L.P.",122662.07,3,2016,equinor
"Audubon Engineering Company, L.P.",8551,2,2017,equinor
"August Mack Environmental, Inc.",6000,1,2018,equinor
Aunt Di's Kountry Kitchen,1643.78,1,2015,equinor
Austin Generator Service,1836.76,4,2015,equinor
Austin Generator Service,1577.83,4,2016,equinor
Austin Generator Service,1526.46,4,2017,equinor
Austin Generator Service,232.22,1,2018,equinor
Austin Geotech Services Inc,27062.5,1,2017,equinor
Austin Master Services LLC,17101.48,6,2016,equinor
Austin Master Services LLC,196028.18,37,2017,equinor
Austin Master Services LLC,200786.9,51,2018,equinor
"Automation And Electronics, Inc",9640689.46,2210,2015,equinor
"Automation And Electronics, Inc",3255282.1,1795,2016,equinor
"Automation And Electronics, Inc",3486072.22,1141,2017,equinor
"Automation And Electronics, Inc",556333.45,575,2018,equinor
Automation Consulting Engineering S,15769.66,5,2015,equinor
Automation Consulting Engineering S,8259.69,7,2016,equinor
Automation Consulting Engineering S,317116.93,29,2017,equinor
Automation Consulting Engineering S,64054.62,41,2018,equinor
Automation-X Corporation,280865.01,86,2015,equinor
Automation-X Corporation,306256.69,28,2016,equinor
Automation-X Corporation,203084.34,49,2017,equinor
Automation-X Corporation,290587.36,60,2018,equinor
"Automotive Rentals, Inc.",321613.85,39,2015,equinor
"Automotive Rentals, Inc.",714994.13,77,2016,equinor
"Automotive Rentals, Inc.",1646811.47,137,2017,equinor
"Automotive Rentals, Inc.",3249552.1,159,2018,equinor
"Autronica Fire and Security AS,Tron",122719,1,2018,equinor
"Avalara, Inc.",2900.35,1,2015,equinor
"Avalara, Inc.",3238.74,1,2016,equinor
"Avalara, Inc.",3045.36,1,2017,equinor
"Avalara, Inc.",1590.75,1,2018,equinor
Avenue Eats LLC,4913.3,11,2018,equinor
"Aviation Spectrum Resources, Inc.",465,1,2017,equinor
"Aviation Spectrum Resources, Inc.",482,2,2018,equinor
"Aviem International, Inc.",22865.81,2,2015,equinor
"Aviem International, Inc.",10050,1,2016,equinor
"Aviem International, Inc.",118953.77,3,2017,equinor
"AWA Oilfield Services, INC",196108.98,4,2018,equinor
"AWC, Inc.",6739.68,1,2015,equinor
"AWC, Inc.",8993.92,3,2017,equinor
AXH Air-Coolers,2681800,40,2018,equinor
Axia Partners LP,241567.86,23,2015,equinor
Axia Partners LP,179302.5,19,2016,equinor
B & E Powder Solutions,439968.58,28,2015,equinor
B&G Roustabout Services LLC,2702115.6,1347,2015,equinor
B&G Roustabout Services LLC,2251104.71,1318,2016,equinor
B&G Roustabout Services LLC,1637093.17,2500,2017,equinor
B&G Roustabout Services LLC,2580501.72,2992,2018,equinor
