Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
5666909.180000	2018	19.250000	"con edison"	"protek locating"
5173623.160000	2016	19.250000	"con edison"	"protek locating"
5741878.480000	2017	19.250000	"con edison"	"protek locating"
3320349.740000	2017	48.000000	"con edison"	"quarter turn resources"
3452723.690000	2018	48.000000	"con edison"	"quarter turn resources"
1748690.870000	2016	48.000000	"con edison"	"quarter turn resources"
1748690.870000	2016	48.000000	"con edison"	"quarter turn resources"
368205.300000	2016	13.000000	"con edison"	"radian research"
368205.300000	2016	13.000000	"con edison"	"radian research"
1400312.000000	2017	13.000000	"con edison"	"radian research"
78674.220000	2018	13.000000	"con edison"	"radian research"
514730.000000	2016	4.750000	"con edison"	"railroad construction co"
1356164.080000	2018	4.750000	"con edison"	"railroad construction co"
1260968.350000	2017	4.750000	"con edison"	"railroad construction co"
514730.000000	2016	4.750000	"con edison"	"railroad construction co"
4374807.800000	2018	221.250000	"con edison"	"rcm technologies usa"
4555938.110000	2016	221.250000	"con edison"	"rcm technologies usa"
4555938.110000	2016	221.250000	"con edison"	"rcm technologies usa"
3231321.010000	2017	221.250000	"con edison"	"rcm technologies usa"
1777000.500000	2016	5.500000	"con edison"	"repsol energy north america corporation"
653779.750000	2018	5.500000	"con edison"	"repsol energy north america corporation"
1777000.500000	2016	5.500000	"con edison"	"repsol energy north america corporation"
1572125.760000	2017	5.500000	"con edison"	"repsol energy north america corporation"
15454458.260000	2016	8.000000	"con edison"	"res america construction"
135690.000000	2017	8.000000	"con edison"	"res america construction"
15454458.260000	2016	8.000000	"con edison"	"res america construction"
3738498.810000	2018	8.000000	"con edison"	"res america construction"
2338531.250000	2017	46.750000	"con edison"	"restani construction corp"
1910515.500000	2016	46.750000	"con edison"	"restani construction corp"
1910515.500000	2016	46.750000	"con edison"	"restani construction corp"
18231759.700000	2018	46.750000	"con edison"	"restani construction corp"
57761912.550000	2018	2533.250000	"con edison"	"richards mfg co sales"
56121579.940000	2017	2533.250000	"con edison"	"richards mfg co sales"
86885858.870000	2016	2533.250000	"con edison"	"richards mfg co sales"
86885858.870000	2016	2533.250000	"con edison"	"richards mfg co sales"
39043022.650000	2016	515.750000	"con edison"	"riggs distler & co"
38671060.920000	2017	515.750000	"con edison"	"riggs distler & co"
39043022.650000	2016	515.750000	"con edison"	"riggs distler & co"
25243872.190000	2018	515.750000	"con edison"	"riggs distler & co"
9500.000000	2016	9.750000	"con edison"	"ritec enterprises"
465260.000000	2018	9.750000	"con edison"	"ritec enterprises"
9500.000000	2016	9.750000	"con edison"	"ritec enterprises"
543795.000000	2017	9.750000	"con edison"	"ritec enterprises"
4834631.310000	2016	339.500000	"con edison"	"roman stone construction co"
4834631.310000	2016	339.500000	"con edison"	"roman stone construction co"
6814354.140000	2017	339.500000	"con edison"	"roman stone construction co"
6756153.350000	2018	339.500000	"con edison"	"roman stone construction co"
6545862.410000	2016	426.250000	"con edison"	"ross technology corp"
6757622.910000	2017	426.250000	"con edison"	"ross technology corp"
6545862.410000	2016	426.250000	"con edison"	"ross technology corp"
6376369.330000	2018	426.250000	"con edison"	"ross technology corp"
1732141.210000	2016	44.500000	"con edison"	"ruletek"
1732141.210000	2016	44.500000	"con edison"	"ruletek"
2400178.070000	2017	44.500000	"con edison"	"ruletek"
1387500.000000	2018	44.500000	"con edison"	"ruletek"
74319820.600000	2016	1447.750000	"con edison"	"safeway construction enterprises"
77508026.450000	2017	1447.750000	"con edison"	"safeway construction enterprises"
77186373.630000	2018	1447.750000	"con edison"	"safeway construction enterprises"
74319820.600000	2016	1447.750000	"con edison"	"safeway construction enterprises"
5292621.670000	2016	312.750000	"con edison"	"schneider electric"
5292621.670000	2016	312.750000	"con edison"	"schneider electric"
5732071.870000	2017	312.750000	"con edison"	"schneider electric"
4906513.800000	2018	312.750000	"con edison"	"schneider electric"
6763025.150000	2016	214.250000	"con edison"	"schultz ford loln"
6763025.150000	2016	214.250000	"con edison"	"schultz ford loln"
9890721.830000	2018	214.250000	"con edison"	"schultz ford loln"
10127012.230000	2017	214.250000	"con edison"	"schultz ford loln"
997675.880000	2016	97.000000	"con edison"	"schweitzer engineering laboratories"
1749088.750000	2017	97.000000	"con edison"	"schweitzer engineering laboratories"
2239883.300000	2018	97.000000	"con edison"	"schweitzer engineering laboratories"
997675.880000	2016	97.000000	"con edison"	"schweitzer engineering laboratories"
2832227.820000	2016	48.750000	"con edison"	"scottmadden"
4823167.990000	2018	48.750000	"con edison"	"scottmadden"
3042297.710000	2017	48.750000	"con edison"	"scottmadden"
2832227.820000	2016	48.750000	"con edison"	"scottmadden"
0.000000	2016	0.500000	"con edison"	"sevenson environmental services"
1164869.840000	2018	0.500000	"con edison"	"sevenson environmental services"
0.000000	2017	0.500000	"con edison"	"sevenson environmental services"
0.000000	2016	0.500000	"con edison"	"sevenson environmental services"
483613.840000	2016	25.750000	"con edison"	"shikoku international corp"
1248933.890000	2017	25.750000	"con edison"	"shikoku international corp"
483613.840000	2016	25.750000	"con edison"	"shikoku international corp"
156147.280000	2018	25.750000	"con edison"	"shikoku international corp"
15995231.450000	2016	345.250000	"con edison"	"simon contractors"
19585945.060000	2017	345.250000	"con edison"	"simon contractors"
15995231.450000	2016	345.250000	"con edison"	"simon contractors"
21622581.330000	2018	345.250000	"con edison"	"simon contractors"
32140963.420000	2016	111.500000	"con edison"	"siemens energy"
32140963.420000	2016	111.500000	"con edison"	"siemens energy"
