Supplier	Total_Invoice_Amount	Total_Invoice_Count	Year	Client	Record_Count
"Amspec L.L.C."	2040.660000	3.000000	2017	"equinor"	2
"Amspec L.L.C."	88949.310000	108.000000	2018	"equinor"	2
"Anchor Drilling Fluids Usa, Inc."	2314174.160000	42.000000	2015	"equinor"	1
"Anderson Oilfield Specialty L.P."	35410.850000	115.000000	2015	"equinor"	1
"Andrews Kurth LLP"	1667977.220000	22.000000	2015	"equinor"	4
"Andrews Kurth LLP"	1251174.560000	21.000000	2016	"equinor"	3
"Andrews Kurth LLP"	268927.210000	24.000000	2017	"equinor"	3
"Andrews Kurth LLP"	42832.380000	7.000000	2018	"equinor"	3
"Annie Oakley Pest Control LLC"	2073.020000	8.000000	2016	"equinor"	3
"Annie Oakley Pest Control LLC"	8592.450000	24.000000	2017	"equinor"	2
"Annie Oakley Pest Control LLC"	10094.380000	32.000000	2018	"equinor"	2
"Answer Vending Inc."	1394.500000	14.000000	2015	"equinor"	1
"Answer Vending Inc."	1101.870000	13.000000	2016	"equinor"	1
"Answer Vending Inc."	677.980000	10.000000	2017	"equinor"	2
"Answer Vending Inc."	319.580000	5.000000	2018	"equinor"	1
"Antler Oilfield Services Inc"	3841861.550000	307.000000	2015	"equinor"	1
"Antler Oilfield Services Inc"	4390631.890000	121.000000	2016	"equinor"	1
"Antler Oilfield Services Inc"	6247630.500000	428.000000	2017	"equinor"	6
"Antler Oilfield Services Inc"	4586230.940000	347.000000	2018	"equinor"	8
"Aon Consulting, Inc."	1600.000000	1.000000	2017	"equinor"	1
"Aon Consulting, Inc."	1600.000000	1.000000	2018	"equinor"	1
"Aon Risk Services Southwest, Inc."	16290340.480000	27.000000	2015	"equinor"	1
"Aon Risk Services Southwest, Inc."	12245478.300000	28.000000	2016	"equinor"	1
"Aon Risk Services Southwest, Inc."	10833361.900000	59.000000	2017	"equinor"	7
"Aon Risk Services Southwest, Inc."	16393218.020000	69.000000	2018	"equinor"	8
"APEM Inc."	673936.500000	12.000000	2018	"equinor"	1
"Apex Remington Inc."	271420.350000	118.000000	2015	"equinor"	3
"Apex Remington Inc."	72815.610000	61.000000	2016	"equinor"	2
"Apex Remington Inc."	258894.040000	125.000000	2017	"equinor"	2
"Apex Remington Inc."	704165.160000	510.000000	2018	"equinor"	5
"API Control System Solutions Inc."	40194.900000	4.000000	2015	"equinor"	2
"API Control System Solutions Inc."	31554.830000	1.000000	2016	"equinor"	1
"Apollo Lighting Solution Inc."	60442.140000	12.000000	2018	"equinor"	1
"Appalachian Drilling Services, Inc."	50776.900000	11.000000	2015	"equinor"	1
"Appalachian Drilling Services, Inc."	104775.040000	24.000000	2016	"equinor"	1
"Appalachian Drilling Services, Inc."	78352.590000	17.000000	2017	"equinor"	1
"Appalachian Oilfield Services LLC"	2402613.910000	463.000000	2015	"equinor"	6
"Appalachian Oilfield Services LLC"	1356045.180000	290.000000	2016	"equinor"	5
"Appalachian Oilfield Services LLC"	2795100.620000	540.000000	2017	"equinor"	6
"Appalachian Oilfield Services LLC"	2640374.380000	396.000000	2018	"equinor"	6
"Appalachian Pipe Inspection & Oil F"	4875.000000	1.000000	2017	"equinor"	1
"Appalachian Security Group, LLC"	38100.000000	7.000000	2015	"equinor"	1
"Appalachian Water Services, LLC"	179666.600000	61.000000	2015	"equinor"	1
"Appalachian Water Services, LLC"	38896.200000	14.000000	2016	"equinor"	2
"Appalachian Water Services, LLC"	51086.600000	12.000000	2017	"equinor"	1
"Apple Inc"	39594.090000	12.000000	2018	"equinor"	1
"Apple Ridge Funding LLC"	1678540.460000	305.000000	2015	"equinor"	9
"Apple Ridge Funding LLC"	4226476.480000	783.000000	2016	"equinor"	8
"Apple Ridge Funding LLC"	1284490.690000	356.000000	2017	"equinor"	11
"Apple Ridge Funding LLC"	298716.740000	111.000000	2018	"equinor"	6
"Applied Economics Consulting Group"	143961.850000	6.000000	2015	"equinor"	2
"Applied Economics Consulting Group"	15675.000000	1.000000	2016	"equinor"	1
"Applied Sedimentary Geology"	2000.000000	1.000000	2016	"equinor"	1
"Applied US Energy Inc"	423901.490000	394.000000	2015	"equinor"	2
"Applied US Energy Inc"	82638.690000	248.000000	2016	"equinor"	2
"Applied US Energy Inc"	444154.510000	804.000000	2017	"equinor"	2
"Applied US Energy Inc"	398211.970000	724.000000	2018	"equinor"	2
"Applus Velosi America LLC"	12582.500000	12.000000	2015	"equinor"	3
"AppSmiths Analysis LLC dba Lagniapp"	5872.560000	1.000000	2015	"equinor"	1
"APRENDA Group Ltd"	9140.610000	1.000000	2015	"equinor"	1
"Aramark Corporation"	171062.920000	57.000000	2015	"equinor"	4
"Aramark Corporation"	137042.440000	53.000000	2016	"equinor"	4
"Aramark Corporation"	154228.780000	52.000000	2017	"equinor"	4
"Aramark Corporation"	42410.820000	21.000000	2018	"equinor"	2
"Aramark Refreshment Services"	3224.180000	26.000000	2015	"equinor"	2
"ARAMARK Refreshment Services"	142851.580000	89.000000	2015	"equinor"	1
"Aramark Refreshment Services"	5603.280000	32.000000	2016	"equinor"	2
"ARAMARK Refreshment Services"	7881.240000	9.000000	2016	"equinor"	1
"Aramark Refreshment Services"	5435.650000	32.000000	2017	"equinor"	3
"Aramark Refreshment Services"	1544.950000	20.000000	2018	"equinor"	2
"Aramark Refreshments Services"	6897.930000	10.000000	2018	"equinor"	1
"Aramark Services, Inc."	40000.000000	1.000000	2018	"equinor"	1
"Aramark Sports & Entertainment"	40000.000000	1.000000	2015	"equinor"	1
"Aramark Sports & Entertainment"	25000.000000	1.000000	2017	"equinor"	1
"Aramark Sports & Entertainment"	43300.000000	1.000000	2018	"equinor"	1
"ARAMCO SERVICES COMPANY"	2955.640000	2.000000	2018	"equinor"	1
"ARC Energy Equipment LLC"	31330.000000	1.000000	2018	"equinor"	1
"Archer Oiltools LLC"	65663.130000	1.000000	2015	"equinor"	1
