Total_Invoice_Amount	Year	Total_Invoice_Count	Client	Supplier_ref
13681703.490000	2016	1692.250000	"marathonpetroleum"	"blackhawk engineering"
12691694.580000	2017	1692.250000	"marathonpetroleum"	"blackhawk engineering"
14167173.360000	2018	3541793.340000	"marathonpetroleum"	"blackhawk engineering"
20417238.490000	2015	500.500000	"marathonpetroleum"	"blessey marine service"
12861280.870000	2016	500.500000	"marathonpetroleum"	"blessey marine service"
8397954.610000	2017	500.500000	"marathonpetroleum"	"blessey marine service"
12822311.790000	2018	3205577.947500	"marathonpetroleum"	"blessey marine service"
3341871.140000	2015	485.500000	"marathonpetroleum"	"bmwc constructors"
4989156.010000	2017	485.500000	"marathonpetroleum"	"bmwc constructors"
5069323.810000	2018	1267330.952500	"marathonpetroleum"	"bmwc constructors"
3220316.760000	2016	485.500000	"marathonpetroleum"	"bmwc constructors"
4274243.960000	2018	1068560.990000	"marathonpetroleum"	"bolger brothers"
22007052.140000	2016	1744.250000	"marathonpetroleum"	"bolin enterprises"
12841003.630000	2017	1744.250000	"marathonpetroleum"	"bolin enterprises"
19751649.730000	2015	1744.250000	"marathonpetroleum"	"bolin enterprises"
13835190.880000	2018	3458797.720000	"marathonpetroleum"	"bolin enterprises"
3462995.310000	2016	40.500000	"marathonpetroleum"	"bolton construction"
753333.500000	2017	40.500000	"marathonpetroleum"	"bolton construction"
582129.000000	2015	40.500000	"marathonpetroleum"	"bolton construction"
947656.730000	2018	236914.182500	"marathonpetroleum"	"border states industries"
7645.690000	2018	1911.422500	"marathonpetroleum"	"brand energy solutions"
17182259.100000	2016	1750.500000	"marathonpetroleum"	"brand energy solutions"
16188538.220000	2017	1750.500000	"marathonpetroleum"	"brand energy solutions"
18170346.590000	2015	1750.500000	"marathonpetroleum"	"brand energy solutions"
2263581.930000	2015	125.250000	"marathonpetroleum"	"brandenburg industrial service co"
3010069.580000	2018	752517.395000	"marathonpetroleum"	"brandenburg industrial service co"
5308722.640000	2017	125.250000	"marathonpetroleum"	"brandenburg industrial service co"
1906108.400000	2016	125.250000	"marathonpetroleum"	"brandenburg industrial service co"
5121334.150000	2016	138.750000	"marathonpetroleum"	"brask"
3928377.280000	2018	982094.320000	"marathonpetroleum"	"brask"
4515424.850000	2015	138.750000	"marathonpetroleum"	"brask"
3551083.790000	2017	138.750000	"marathonpetroleum"	"brask"
8774254.300000	2017	1883.000000	"marathonpetroleum"	"brenntag"
10790982.680000	2016	1883.000000	"marathonpetroleum"	"brenntag"
13123197.330000	2015	1883.000000	"marathonpetroleum"	"brenntag"
14277426.410000	2018	3569356.602500	"marathonpetroleum"	"brenntag"
4100736.680000	2016	8467.750000	"marathonpetroleum"	"brewer petroleum service"
3540007.710000	2018	885001.927500	"marathonpetroleum"	"brewer petroleum service"
3127545.240000	2017	8467.750000	"marathonpetroleum"	"brewer petroleum service"
3986867.790000	2015	8467.750000	"marathonpetroleum"	"brewer petroleum service"
4969853.970000	2017	27.500000	"marathonpetroleum"	"brinks"
1638417.300000	2015	27.500000	"marathonpetroleum"	"brinks"
7212787.920000	2016	27.500000	"marathonpetroleum"	"brinks"
5516302.500000	2018	1379075.625000	"marathonpetroleum"	"brinks"
1664053.740000	2015	32.250000	"marathonpetroleum"	"brint electric"
1291112.000000	2016	32.250000	"marathonpetroleum"	"brint electric"
474217.930000	2017	32.250000	"marathonpetroleum"	"brint electric"
4408042.370000	2018	1102010.592500	"marathonpetroleum"	"buffalo marine services"
8281719.590000	2016	274.750000	"marathonpetroleum"	"buffalo marine services"
3739324.360000	2017	274.750000	"marathonpetroleum"	"buffalo marine services"
7020711.860000	2015	274.750000	"marathonpetroleum"	"buffalo marine services"
8692488.000000	2017	242.500000	"marathonpetroleum"	"burns & mcdonnell"
17664331.350000	2016	242.500000	"marathonpetroleum"	"burns & mcdonnell"
16515284.150000	2018	4128821.037500	"marathonpetroleum"	"burns & mcdonnell"
13142198.560000	2015	242.500000	"marathonpetroleum"	"burns & mcdonnell"
